width,height,subject_nr,participant_avatar_file,participant_avatar_gender,block_nr,rater_name,rater_file,ratee_type,other_ratee_name,other_ratee_file,liking,trial_nr,positive_left,positive_correct,pos_word,neg_word,correct_word,left_word,right_word,response,choice,chose_positive,accuracy,t_start_experiment,t_start_block,t_start_trial,t_response,likes_on_left,evaluation,t_ask_eval,t_eval_resp,attentional_check1,attentional_check2,avatar_selected_self_file,avatar_selected_other_file
1440,900,PurpleSleep,male2,m,3,Joan,female1,you,Tom,male14,dislike,20,1,0,easygoing,irritable,irritable,easygoing,irritable,0,easygoing,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,1,66,1.75E+12,1.75E+12,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,1,1,0,humble,arrogant,arrogant,humble,arrogant,0,humble,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,2,1,0,calm,angry,angry,calm,angry,0,calm,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,3,0,0,charming,disagreeable,disagreeable,disagreeable,charming,0,disagreeable,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,4,1,0,attentive,careless,careless,attentive,careless,0,attentive,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,5,1,0,kind,cruel,cruel,kind,cruel,0,kind,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,6,0,0,reliable,unreliable,unreliable,unreliable,reliable,0,unreliable,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,7,0,0,considerate,self-absorbed,self-absorbed,self-absorbed,considerate,0,self-absorbed,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,8,1,0,eager,passive,passive,eager,passive,0,eager,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,9,0,1,determined,indecisive,determined,indecisive,determined,0,indecisive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,10,0,0,cheerful,gloomy,gloomy,gloomy,cheerful,0,gloomy,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,11,0,1,laidback,aggressive,laidback,aggressive,laidback,0,aggressive,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,12,0,0,sincere,fake,fake,fake,sincere,0,fake,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,13,1,0,bold,timid,timid,bold,timid,0,bold,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,14,0,0,clever,silly,silly,silly,clever,0,silly,FALSE,TRUE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,15,1,0,well-liked,unpopular,unpopular,well-liked,unpopular,0,well-liked,TRUE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,16,0,1,open-minded,stubborn,open-minded,stubborn,open-minded,0,stubborn,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
1440,900,PurpleSleep,male2,m,4,Isaac,male6,other,Tom,male14,dislike,17,0,1,efficient,inefficient,efficient,inefficient,efficient,0,inefficient,FALSE,FALSE,1.75E+12,1.75E+12,1.75E+12,1.75E+12,,,,,100,,,
